UF;Sigla;Nivel
Rondônia;RO;estavel
Acre;AC;alto
Amazonas;AM;baixo
Roraima;RR;alto
Pará;PA;baixo
Amapá;AP;baixo
Tocantins;TO;alto
Maranhão;MA;baixo
Piauí;PI;baixo
Ceará;CE;baixo
Rio Grande do Norte;RN;baixo
Paraíba;PB;baixo
Pernambuco;PE;estavel
Alagoas;AL;baixo
Sergipe;SE;estavel
Bahia;BA;estavel
Minas Gerais;MG;estavel
Espírito Santo;ES;baixo
Rio de Janeiro;RJ;alto
São Paulo;SP;estavel
Paraná;PR;estavel
Santa Catarina;SC;alto
Rio Grande do Sul;RS;alto
Mato Grosso do Sul;MS;alto
Mato Grosso;MT;estavel
Goiás;GO;alto
Distrito Federal;DF;estavel
