UF;Sigla;Status
Rondônia;RO;alta
Acre;AC;estavel
Amazonas;AM;baixa
Roraima;RR;estavel
Pará;PA;baixa
Amapá;AP;baixa
Tocantins;TO;alta
Maranhão;MA;baixa
Piauí;PI;baixa
Ceará;CE;baixa
Rio Grande do Norte;RN;baixa
Paraíba;PB;baixa
Pernambuco;PE;baixa
Alagoas;AL;baixa
Sergipe;SE;estavel
Bahia;BA;estavel
Minas Gerais;MG;estavel
Espírito Santo;ES;estavel
Rio de Janeiro;RJ;estavel
São Paulo;SP;estavel
Paraná;PR;estavel
Santa Catarina;SC;alta
Rio Grande do Sul;RS;alta
Mato Grosso do Sul;MS;alta
Mato Grosso;MT;estavel
Goiás;GO;alta
Distrito Federal;DF;estavel
